Platform,Service_Title,Details,Price,Link,Image_Path
MahirCompany,Power Plug Installation (Without Wiring),- Per Plug,Rs:900,https://mahircompany.com/power-plug-installation-without-wiring,image3/mahir_63.jpg
MahirCompany,Power Plug Installation (With Wiring),- Vary After Inspection,Rs:1000,https://mahircompany.com/power-plug-installation-with-wiring,image3/mahir_64.jpg
MahirCompany,Light Plug (With Wiring),- Vary After Inspection,Rs:800,https://mahircompany.com/light-plug-with-wiring,image3/mahir_65.jpg
MahirCompany,Light Plug (Without Wiring),- Per Plug,Rs:800,https://mahircompany.com/light-plug-without-wiring,image3/mahir_66.jpg
MahirCompany,Ceiling Fan Repairing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/ceiling-fan-repairing,image3/mahir_67.jpg
MahirCompany,43-65 Inch LED TV or LCD Mounting,- Starting from Per LED/LCD,Rs:2000,https://mahircompany.com/43-65-inch-led-tv-or-lcd-mounting,image3/mahir_68.jpg
MahirCompany,Tube light Installation,- Per Tube Light,Rs:800,https://mahircompany.com/tube-light-installation,image3/mahir_69.jpg
MahirCompany,Tube Light Replacement,- Per Tube Light,Rs:800,https://mahircompany.com/tube-light-replacement,image3/mahir_70.jpg
MahirCompany,Tube Light Repairing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/tube-light-repairing,image3/mahir_71.jpg
MahirCompany,Sub-Meter Installation,- Starting From,Rs:1200,https://mahircompany.com/submeter-installation,image3/mahir_72.jpg
MahirCompany,Curtain Rod Installation,- Per Rod,Rs:800,https://mahircompany.com/curtain-rod-installation,image3/mahir_73.jpg
MahirCompany,Art Hanging,- Per Piece,Rs:800,https://mahircompany.com/art-hanging,image3/mahir_74.jpg
MahirCompany,Mirror hanging,- Vary After Inspection,Rs:800,https://mahircompany.com/mirror-hanging,image3/mahir_75.jpg
MahirCompany,Picture Hanging,- Per Picture,Rs:800,https://mahircompany.com/picture-hanging,image3/mahir_76.jpg
MahirCompany,Shelf Hanging,- Vary After Inspection,Rs:800,https://mahircompany.com/shelf-hanging,image3/mahir_77.jpg
MahirCompany,Room Clock Hanging,- Per Clock,Rs:800,https://mahircompany.com/room-clock-hanging,image3/mahir_78.jpg
MahirCompany,Wardrobe Repairing,- Visit & Inspection Charges,Rs:800,https://mahircompany.com/wardrobe-repairing,image3/mahir_79.jpg
MahirCompany,Door Installation,- Starting From,Rs:1500,https://mahircompany.com/door-installation,image3/mahir_80.jpg
